id,content_type,filename,size,tags,description,page_id,parent_id,thumbnail,width,height,db_file_id
517,image/jpeg,jun2006_thumb.jpg,5261,,,,516,thumb,177,170,
518,image/jpeg,mayo2005.jpg,5324,extra,,8,,,120,115,
519,image/jpeg,mayo2005_thumb.jpg,5324,,,,518,thumb,177,170,
520,image/jpeg,mayo2007.jpg,5175,extra,,8,,,120,115,
521,image/jpeg,mayo2007_thumb.jpg,5175,,,,520,thumb,177,170,
522,image/jpeg,oct2007.jpg,5461,extra,,8,,,120,115,
523,image/jpeg,oct2007_thumb.jpg,5461,,,,522,thumb,177,170,
524,image/jpeg,ojodenube_HR_08.jpg,89454,imágen_principal,,120,,,244,408,
525,image/jpeg,ojodenube_HR_08_thumb.jpg,89454,,,,524,thumb,102,170,
526,image/jpeg,8_maneras_SM_A.jpg,133285,imágen_principal,,121,,,312,420,
527,image/jpeg,8_maneras_SM_A_thumb.jpg,133285,,,,526,thumb,126,170,
530,image/jpeg,8_maneras_SM_C.jpg,179989,extra,,121,,,223,571,
531,image/jpeg,8_maneras_SM_C_thumb.jpg,179989,,,,530,thumb,66,170,
532,image/jpeg,mifoto_100.jpg,113943,imágen_principal,,122,,,425,392,
533,image/jpeg,mifoto_100_thumb.jpg,113943,,,,532,thumb,184,170,
540,image/jpeg,cubos.jpg,79695,imágen_principal,,123,,,218,400,
541,image/jpeg,cubos_thumb.jpg,79695,,,,540,thumb,93,170,
544,image/jpeg,cara.jpg,58554,extra,,123,,,243,400,
545,image/jpeg,cara_thumb.jpg,58554,,,,544,thumb,103,170,
546,image/jpeg,cara2.jpg,48133,imágen_principal,,124,,,212,420,
547,image/jpeg,cara2_thumb.jpg,48133,,,,546,thumb,86,170,
550,image/jpeg,mano1.jpg,102726,extra,,124,,,283,420,
551,image/jpeg,mano1_thumb.jpg,102726,,,,550,thumb,115,170,
552,image/jpeg,carab.jpg,50774,extra,,123,,,243,400,
553,image/jpeg,carab_thumb.jpg,50774,,,,552,thumb,103,170,
554,image/jpeg,carac.jpg,36640,extra,,123,,,243,400,
555,image/jpeg,carac_thumb.jpg,36640,,,,554,thumb,103,170,
566,image/jpeg,abencerraje_peq.jpg,80628,imágen_principal,,126,,,292,420,
567,image/jpeg,abencerraje_peq_thumb.jpg,80628,,,,566,thumb,118,170,
576,image/jpeg,dic2008.jpg,5635,extra,,8,,,120,115,
577,image/jpeg,dic2008_thumb.jpg,5635,,,,576,thumb,177,170,
580,image/jpeg,lectora.jpg,168863,imágen_principal,,1,,,600,410,
581,image/jpeg,lectora_thumb.jpg,168863,,,,580,thumb,249,170,
582,image/jpeg,amadis_peq.jpg,139900,imágen_principal,,128,,,295,420,
583,image/jpeg,amadis_peq_thumb.jpg,139900,,,,582,thumb,119,170,
584,image/jpeg,condelucanor_peq.jpg,99889,imágen_principal,,129,,,288,440,
585,image/jpeg,condelucanor_peq_thumb.jpg,99889,,,,584,thumb,111,170,
586,image/jpeg,P1010122.jpg,117237,imágen_principal,,130,,,306,420,
587,image/jpeg,P1010122_thumb.jpg,117237,,,,586,thumb,124,170,
594,image/jpeg,IMG_7778.jpg,101542,extra,,130,,,286,470,
595,image/jpeg,IMG_7778_thumb.jpg,101542,,,,594,thumb,103,170,
596,image/jpeg,P1010126.jpg,104934,extra,,130,,,247,420,
597,image/jpeg,P1010126_thumb.jpg,104934,,,,596,thumb,100,170,
598,image/jpeg,hoja.jpg,91727,extra,,130,,,257,400,
599,image/jpeg,hoja_thumb.jpg,91727,,,,598,thumb,109,170,
600,image/jpeg,P1011169.jpg,136377,imágen_principal,,131,,,290,420,
601,image/jpeg,P1011169_thumb.jpg,136377,,,,600,thumb,117,170,
602,image/jpeg,cuentas_estanquera2.jpg,35343,extra,,132,,,111,500,
603,image/jpeg,cuentas_estanquera2_thumb.jpg,35343,,,,602,thumb,38,170,
604,image/jpeg,Factura_supersol2.jpg,37288,extra,,132,,,183,350,
605,image/jpeg,Factura_supersol2_thumb.jpg,37288,,,,604,thumb,89,170,
608,image/jpeg,números_marquesina.jpg,36155,extra,,132,,,400,159,
609,image/jpeg,números_marquesina_thumb.jpg,36155,,,,608,thumb,428,170,
612,image/jpeg,mats_1.jpg,96131,extra,,132,,,360,260,
613,image/jpeg,mats_1_thumb.jpg,96131,,,,612,thumb,235,170,
614,image/jpeg,billete_tren.jpg,86641,extra,,132,,,356,200,
615,image/jpeg,billete_tren_thumb.jpg,86641,,,,614,thumb,303,170,
616,image/jpeg,telefono.jpg,114784,imágen_principal,,132,,,350,355,
617,image/jpeg,telefono_thumb.jpg,114784,,,,616,thumb,168,170,
618,image/jpeg,Circo_13b.jpg,71361,extra,,132,,,370,200,
619,image/jpeg,Circo_13b_thumb.jpg,71361,,,,618,thumb,315,170,
620,image/jpeg,jun2009.jpg,5229,extra,,8,,,120,115,
621,image/jpeg,jun2009_thumb.jpg,5229,,,,620,thumb,177,170,
622,image/jpeg,mar2009.jpg,5272,extra,,8,,,120,115,
623,image/jpeg,mar2009_thumb.jpg,5272,,,,622,thumb,177,170,
626,image/jpeg,lectora2.jpg,79110,imágen_principal,,133,,,192,250,
627,image/jpeg,lectora2_thumb.jpg,79110,,,,626,thumb,131,170,
632,image/jpeg,escritora.jpg,45282,extra,,133,,,200,233,
633,image/jpeg,escritora_thumb.jpg,45282,,,,632,thumb,146,170,
634,image/jpeg,Libros_002.jpg,16868,imágen_principal,,4,,,180,120,
635,image/jpeg,Libros_002_thumb.jpg,16868,,,,634,thumb,255,170,
640,image/jpeg,sahara01.jpg,45404,imágen_principal,,137,,,304,420,
641,image/jpeg,sahara01_thumb.jpg,12765,,,,640,thumb,123,170,
642,image/jpeg,Da_os.jpg,32476,imágen_principal,,43,,,252,372,
643,image/jpeg,Da_os_thumb.jpg,21185,,,,642,thumb,115,170,
644,image/jpeg,Caim_n_2.jpg,21898,imágen_principal,,23,,,230,372,
645,image/jpeg,Caim_n_2_thumb.jpg,19327,,,,644,thumb,105,170,
646,image/jpeg,Vida_sue_o_peq.jpg,69124,imágen_principal,,102,,,269,400,
647,image/jpeg,Vida_sue_o_peq_thumb.jpg,23715,,,,646,thumb,114,170,
648,image/jpeg,RyJ_pag1.jpg,214488,extra,,103,,,600,835,
649,image/jpeg,RyJ_pag1_thumb.jpg,30380,,,,648,thumb,122,170,
650,image/png,atlantico.png,114561,imágen_principal,,127,,,269,420,
651,image/png,atlantico_thumb.png,16719,,,,650,thumb,109,170,
654,image/jpeg,kafka1.jpg,31617,imágen_principal,,134,,,231,300,
655,image/jpeg,kafka1_thumb.jpg,14835,,,,654,thumb,131,170,
656,image/jpeg,separadornubes.jpg,20189,extra,,134,,,640,36,
657,image/jpeg,separadornubes_thumb.jpg,171067,,,,656,thumb,3022,170,
666,image/jpeg,bubisher_ni_a.jpg,51846,extra,,137,,,320,180,
